"","Household_ID","Disability_in_house","Household_disability_income","Household_SSI_income","Number_of_persons_in_house","Total_household_income"
"1",1,2,0,0,1,44220
"2",5,2,0,0,2,82752
"3",6,2,0,0,2,60001
"4",9,2,0,0,5,123814
"5",10,2,0,0,2,31184
"6",11,2,0,0,2,0
"7",12,2,0,0,1,19783
"8",13,2,0,0,4,72370
"9",15,2,0,0,2,44000
"10",17,2,0,0,1,400
"11",19,2,0,0,1,29110
"12",23,2,0,0,2,273821
"13",29,2,0,0,5,113003
"14",34,2,0,0,1,31182
"15",52,2,0,0,4,78152
"16",53,2,0,0,4,142458
"17",54,2,0,0,3,87630
"18",55,2,0,0,1,90950
"19",56,2,0,0,1,40720
"20",63,2,0,0,1,14544
"21",67,2,0,0,1,63827
"22",73,2,0,0,2,114809
"23",74,2,0,0,1,14287
"24",76,2,0,0,1,32289
"25",77,2,0,0,2,73513
"26",79,2,0,0,1,49451
"27",80,2,0,0,2,383749
"28",81,2,0,0,1,18354
"29",83,2,0,0,2,102979
"30",84,2,0,0,2,125825
"31",85,2,0,0,1,22056
"32",86,2,0,0,2,95664
"33",88,2,0,0,2,82382
"34",89,2,0,0,3,46901
"35",90,2,0,0,1,18666
"36",92,2,0,0,2,116746
"37",94,2,0,0,2,60625
"38",95,2,0,0,4,129294
"39",97,2,0,0,1,18002
"40",101,2,0,0,1,177017
"41",102,2,0,0,3,37201
"42",117,2,0,0,3,108317
"43",118,2,0,0,5,1552
"44",119,2,0,9000,2,27906
"45",130,2,0,0,2,36484
"46",132,2,0,0,1,18683
"47",134,2,0,0,2,137744
"48",135,2,0,0,1,30000
"49",137,2,0,0,2,33192
"50",138,2,0,0,2,82791
"51",139,2,0,0,2,66042
"52",140,2,0,0,1,33298
"53",141,2,0,0,2,106560
"54",142,2,0,0,1,19228
"55",144,2,0,0,2,128841
"56",145,2,0,0,1,73142
"57",147,2,0,0,1,87406
"58",149,2,0,0,4,106735
"59",152,2,0,0,2,67497
"60",155,2,0,0,1,20184
"61",159,2,0,0,5,8865
"62",160,2,0,3600,1,11382
"63",171,2,0,0,2,162204
"64",172,2,0,0,2,30604
"65",179,2,0,2400,4,115555
"66",180,2,0,0,1,34023
"67",182,2,0,0,5,149802
"68",183,2,0,0,2,312366
"69",184,2,0,0,2,90291
"70",186,2,0,0,2,25338
"71",187,2,0,0,1,23898
"72",188,2,0,9800,4,186917
"73",189,2,0,0,2,113800
"74",193,2,0,0,4,75152
"75",201,2,0,0,2,105823
"76",202,2,0,0,4,160222
"77",206,2,0,0,2,324808
"78",220,2,0,0,3,44005
"79",221,1,9492,9492,2,28476
"80",222,2,0,0,3,109801
"81",223,2,0,0,3,160407
"82",224,2,0,0,2,40070
"83",225,2,0,0,2,52560
"84",226,2,0,10800,3,56018
"85",234,2,0,0,2,98063
"86",235,2,0,0,3,47382
"87",236,2,0,0,1,11263
"88",237,2,0,0,1,19922
"89",238,2,0,0,1,27169
"90",252,2,0,0,1,40010
"91",258,2,0,0,2,40548
"92",264,2,0,17868,1,27084
"93",265,2,0,0,2,248385
"94",266,2,0,0,3,24034
"95",268,2,0,22896,2,22898
"96",269,2,0,0,3,31608
"97",270,2,0,0,1,14400
"98",271,2,0,0,2,29000
"99",272,2,0,0,4,40000
"100",279,2,0,0,2,32299
"101",281,2,0,0,1,12000
"102",284,2,0,0,2,183580
"103",285,2,0,0,4,69601
"104",286,1,33000,0,4,139384
"105",287,2,0,0,1,16560
"106",288,2,0,0,2,37501
"107",289,2,0,0,2,146026
"108",293,2,0,0,2,242032
"109",298,2,0,0,2,47500
"110",306,2,0,0,3,65028
"111",311,2,0,0,3,40000
"112",313,2,0,0,2,133143
"113",314,2,0,0,4,28363
"114",315,2,0,0,2,27602
"115",316,2,0,11400,2,40765
"116",317,2,0,0,1,57409
"117",318,2,0,18000,2,25000
"118",320,2,0,0,4,264146
"119",321,2,0,0,2,58061
"120",322,2,0,0,4,111800
"121",323,2,0,0,1,26982
"122",326,2,0,0,1,38017
"123",327,2,0,0,2,152043
"124",328,2,0,0,2,111315
"125",331,2,0,0,2,90940
"126",332,2,0,9540,1,9540
"127",333,2,0,0,1,29673
"128",334,2,0,0,2,159008
"129",336,2,0,0,2,104412
"130",339,2,0,0,2,58058
"131",340,2,0,0,1,36001
"132",342,2,0,0,1,17622
"133",343,2,0,0,1,26983
"134",346,2,0,0,3,47598
"135",349,2,0,0,1,68002
"136",353,2,0,0,2,153097
"137",356,2,0,0,4,250324
"138",359,2,0,0,2,196105
"139",360,2,0,0,4,186254
"140",362,2,0,0,3,94273
"141",363,2,0,0,3,144391
"142",364,2,0,0,4,75200
"143",365,2,0,0,3,80508
"144",366,2,0,0,5,139661
"145",367,2,0,0,1,35383
"146",368,2,0,0,2,57942
"147",369,1,4000,0,2,54896
"148",370,2,0,0,2,156409
"149",375,2,0,0,1,25361
"150",376,2,0,0,3,256645
"151",377,2,0,0,1,16300
"152",378,2,0,0,1,36123
"153",385,2,0,0,2,71666
"154",387,2,0,0,2,49521
"155",389,2,0,0,1,70001
"156",390,2,0,0,2,440820
"157",391,2,0,0,1,32000
"158",393,2,0,0,2,126906
"159",394,2,0,0,2,97036
"160",395,2,0,0,2,40010
"161",396,2,0,0,2,127648
"162",398,2,0,0,2,43146
"163",400,2,0,0,3,59058
"164",405,2,0,0,5,6479
"165",406,2,0,0,1,18302
"166",407,2,0,0,2,43100
"167",408,2,0,0,4,230491
"168",410,2,0,0,2,44160
"169",411,2,0,0,1,16700
"170",412,2,0,0,3,68586
"171",413,2,0,0,4,110212
"172",414,2,0,0,2,63067
"173",415,2,0,0,4,19500
"174",416,2,0,0,6,579998
"175",417,2,0,1000,3,11182
"176",418,2,0,0,2,147854
"177",419,2,0,0,3,104085
"178",420,2,0,0,2,68073
"179",422,2,0,0,2,75414
"180",423,2,0,0,2,148900
"181",425,2,0,0,3,100214
"182",440,2,0,0,4,133560
"183",446,2,0,0,2,27534
"184",447,2,0,0,3,89739
"185",448,2,0,0,2,158054
"186",449,2,0,0,2,41183
"187",450,2,0,0,2,60600
"188",451,2,0,0,1,21730
"189",452,2,0,0,2,150985
"190",453,2,0,0,2,92370
"191",454,2,0,0,2,93319
"192",456,2,0,0,1,90031
"193",458,2,0,0,2,56008
"194",460,2,0,0,3,102492
"195",461,2,0,0,1,28800
"196",464,2,0,0,4,72005
"197",465,2,0,1572,2,79149
"198",466,2,0,41040,8,68636
"199",467,2,0,0,3,47906
"200",468,2,0,0,2,13106
"201",470,2,0,0,4,157936
"202",471,2,0,0,3,51200
"203",472,2,0,0,3,117530
"204",473,2,0,0,2,70189
"205",474,2,0,0,2,59330
"206",475,2,0,0,2,62044
"207",476,2,0,0,1,30000
"208",478,2,0,0,3,70414
"209",479,2,0,0,2,8100
"210",480,2,0,0,2,55536
"211",482,2,0,0,2,150985
"212",484,2,0,0,4,77526
"213",489,2,0,0,4,56763
"214",500,2,0,0,4,76400
"215",501,2,0,0,3,91552
"216",502,2,0,0,4,65102
"217",503,1,12892,0,4,208298
"218",504,2,0,0,5,121097
"219",513,2,0,0,1,44882
"220",516,2,0,0,1,9282
"221",525,2,0,0,1,7182
"222",527,2,0,0,2,43574
"223",529,2,0,0,2,151121
"224",531,2,0,0,3,86501
"225",534,2,0,0,4,185503
"226",535,2,0,0,3,152521
"227",536,2,0,0,1,74010
"228",537,2,0,0,2,264412
"229",539,2,0,0,3,99699
"230",540,2,0,0,3,129745
"231",542,2,0,0,2,31561
"232",543,2,0,0,1,70000
"233",544,2,0,0,4,132000
"234",545,2,0,0,4,91030
"235",547,2,0,0,2,250091
"236",548,2,0,0,3,94222
"237",549,2,0,0,3,52002
"238",550,2,0,0,1,21809
"239",551,2,0,0,1,91642
"240",553,2,0,0,2,49426
"241",554,2,0,0,2,141424
"242",555,2,0,0,2,74707
"243",556,2,0,0,2,51081
"244",557,2,0,0,2,24088
"245",558,2,0,0,1,26264
"246",559,2,0,0,2,248654
"247",560,2,0,0,3,76060
"248",561,2,0,0,3,123101
"249",563,2,0,0,3,85328
"250",567,2,0,0,1,245334
"251",568,2,0,0,2,92102
"252",569,2,0,0,5,77815
"253",570,2,0,0,2,177013
"254",571,2,0,0,6,97255
"255",572,2,0,0,1,65712
"256",574,2,0,0,2,41756
"257",575,2,0,0,2,70613
"258",576,2,0,0,3,66211
"259",577,2,0,0,2,78109
"260",578,2,0,0,2,9200
"261",579,2,0,0,4,110010
"262",580,2,0,0,2,285007
"263",581,2,0,0,1,73984
"264",582,2,0,0,2,112226
"265",583,2,0,0,4,237121
"266",584,2,0,0,4,207029
"267",585,2,0,0,3,315402
"268",586,2,0,0,2,47035
"269",588,2,0,0,1,65032
"270",589,2,0,0,4,66131
"271",590,1,4200,0,1,16549
"272",591,2,0,0,2,191108
"273",592,2,0,0,2,121334
"274",593,2,0,0,2,123012
"275",594,2,0,0,5,47894
"276",595,2,0,0,3,260875
"277",596,2,0,0,5,146501
"278",599,2,0,0,3,86703
"279",600,2,0,0,2,44390
"280",601,2,0,0,4,99205
"281",602,2,0,0,1,14000
"282",603,2,0,0,1,59011
"283",604,2,0,0,1,71793
"284",605,2,0,13308,2,95309
"285",607,2,0,0,3,184086
"286",608,2,0,0,2,143533
"287",609,2,0,0,3,69898
"288",610,2,0,0,4,70802
"289",611,2,0,0,1,110384
"290",612,2,0,0,2,165000
"291",613,2,0,0,1,44183
"292",614,2,0,0,1,40847
"293",615,2,0,0,3,105994
"294",616,2,0,0,2,171000
"295",619,2,0,0,4,123680
"296",621,2,0,0,4,184785
"297",624,2,0,0,3,0
"298",625,2,0,0,5,89010
"299",626,2,0,0,2,17000
"300",629,2,0,0,2,25000
"301",633,2,0,0,2,41000
"302",634,2,0,0,4,127046
"303",649,2,0,0,2,199001
"304",650,2,0,0,5,172124
"305",651,2,0,0,4,262175
"306",652,2,0,0,4,238340
"307",653,2,0,0,4,125098
"308",655,2,0,0,2,113911
"309",658,2,0,0,5,70622
"310",659,2,0,0,4,187002
"311",660,2,0,0,4,200215
"312",661,2,0,9840,2,16080
"313",662,2,0,0,3,134034
"314",663,1,980,9120,2,33486
"315",664,2,0,0,5,89000
"316",665,2,0,0,5,230914
"317",666,2,0,0,4,75000
"318",667,2,0,0,2,81250
"319",668,2,0,0,4,123135
"320",669,2,0,0,4,100002
"321",670,2,0,0,2,3687
"322",671,2,0,0,4,273260
"323",673,2,0,0,2,183076
"324",674,2,0,0,2,62007
"325",678,2,0,0,2,42027
"326",680,2,0,0,2,26755
"327",681,2,0,0,2,94551
"328",685,2,0,0,2,266807
"329",686,2,0,0,4,259637
"330",687,2,0,0,2,84703
"331",692,2,0,0,5,100613
"332",699,2,0,0,3,42500
"333",705,2,0,0,1,25000
"334",710,2,0,9132,1,9132
"335",711,2,0,0,2,170034
"336",712,2,0,0,1,79340
"337",713,2,0,0,2,317152
"338",714,2,0,0,2,31991
"339",715,2,0,0,3,93963
"340",716,2,0,0,3,93780
"341",717,2,0,0,2,301486
"342",722,2,0,0,1,87137
"343",726,2,0,0,1,36435
"344",728,2,0,0,1,21062
"345",729,1,1260,0,2,53377
"346",731,2,0,0,2,126217
"347",732,2,0,0,1,10001
"348",735,2,0,0,2,52302
"349",738,2,0,0,2,30002
"350",739,2,0,0,2,202360
"351",740,2,0,0,7,136863
"352",741,2,0,0,1,72992
"353",742,2,0,0,2,112270
"354",743,2,0,0,3,100015
"355",744,2,0,0,2,136845
"356",745,2,0,0,3,141004
"357",747,2,0,2160,2,42659
"358",748,2,0,0,2,93257
"359",749,2,0,0,2,197003
"360",750,2,0,0,2,85302
"361",751,2,0,0,4,58000
"362",752,2,0,0,5,502502
"363",753,2,0,0,2,60942
"364",754,2,0,0,3,174511
"365",755,2,0,0,4,176221
"366",756,2,0,0,2,121940
"367",757,2,0,0,2,32118
"368",758,2,0,0,1,48501
"369",760,2,0,0,4,252528
"370",762,2,0,0,1,52689
"371",763,2,0,0,2,65028
"372",764,2,0,3600,5,14982
"373",765,2,0,0,3,91000
"374",766,2,0,0,1,52610
"375",767,2,0,0,2,74600
"376",769,2,0,0,1,304487
"377",774,2,0,0,4,172788
"378",775,2,0,0,1,53200
"379",776,2,0,0,1,24001
"380",777,2,0,0,3,43509
"381",778,2,0,0,3,96000
"382",779,2,0,0,2,148603
"383",780,2,0,0,2,50303
